ISO,AgeofDeath
AFG,32.94
ALB,50.305
DZA,43.34
AND,55.525
AGO,32.18
ATG,50.565002
ARG,50.705
ARM,50.050003
AUS,54.534996
AUT,54.165
AZE,44.765
BHS,43.54
BHR,43.175
BGD,42.405
BRB,49.519997
BLR,49.28
BEL,54.434998
BLZ,43.6
BEN,31.455
BTN,41.54
BOL,38.004997
BIH,52.07
BWA,37.87
BRA,47.34
BRN,48.525
BGR,52.739998
BFA,25.965
BDI,33.91
KHM,39.074997
CMR,32.69
CAN,54.190002
CPV,44.83
CAF,35.67
TCD,27.45
CHL,50.97
CHN,49.71
COL,45.059998
COM,34.574997
COG,36.015
CRI,49.92
CIV,34.1
HRV,52.854996
CUB,53.504997
CYP,53.940002
CZE,52.79
PRK,46.465
COD,29.075
DNK,54.35
DJI,35.8
DMA,48.585
DOM,47.260002
ECU,45.15
EGY,44.92
SLV,45.675
GNQ,32.03
ERI,32.735
EST,51.275
ETH,35.004997
FJI,44.165
FIN,53.534996
FRA,54.269997
GAB,39.66
GMB,30.044998
GEO,50.245003
DEU,54.25
GHA,36.55
GRC,55.144997
GRD,48.08
GTM,39.66
GIN,29.73
GNB,30.355
GUY,43.295
HTI,35.165
HND,43.985
HUN,52.089996
ISL,54.989998
IND,42.510002
IDN,44.114998
IRN,47.055
IRQ,34.665
IRL,53.464996
ISR,54.07
ITA,55.595
JAM,47.934998
JPN,55.574997
JOR,45.625
KAZ,44.22
KEN,33.39
KIR,41.57
KWT,44.73
KGZ,42.059998
LAO,38.894997
LVA,50.83
LBN,49.475
LSO,35.595
LBR,28.099998
LBY,44.625
LTU,50.440002
LUX,53.295
MKD,52.114998
MDG,36.25
MWI,32.325
MYS,47.260002
MDV,46.855
MLI,25.65
MLT,54.394997
MHL,41.16
MRT,32.215
MUS,48.989998
MEX,46.915
FSM,45.504997
MNG,42.44
MNE,52.18
MAR,44.199997
MOZ,32.83
MMR,42.945
NAM,39.510002
NPL,38.67
NLD,54.614998
NZL,53.805
NIC,44.65
NER,25.869999
NGA,28.45
NOR,55.15
OMN,44.39
PAK,38.11
PAN,47.69
PNG,39.16
PRY,45.65
PER,45.425
PHL,41.8
POL,51.525
PRT,54.305
QAT,40.875
KOR,51.254997
MDA,48.93
ROU,51.635002
RUS,47.96
RWA,33.629997
LCA,48.495
VCT,46.559998
WSM,46.14
STP,37.78
SAU,44.67
SEN,32.41
SRB,53.034996
SYC,44.22
SLE,30.515
SGP,51.714996
SVK,51.545
SVN,52.835
SLB,42.425
SOM,31.775
ZAF,37.995
ESP,55.059998
LKA,49.714996
SDN,34.045
SUR,43.37
SWZ,36.735
SWE,55.934998
CHE,55.32
SYR,45.71
TJK,38.65
TZA,31.83
THA,48.09
TLS,33.894997
TGO,32.254997
TON,46.739998
TTO,47.760002
TUN,48.245
TUR,46.059998
TKM,43.72
UGA,32.39
UKR,49.5
ARE,39.155
GBR,54.835
USA,52.870003
URY,52.845
UZB,42.595
VUT,43.05
VEN,44.485
VNM,46.82
YEM,33.535
ZMB,31.494999
ZWE,36.715
AAE,45.438347
ACE,51.438347
GEA,43.9784
HIA,51.334503
AME,46.29265
LIA,33.65345
LMA,40.80445
ANE,44.13275
ASA,53.53
ASE,41.5931
AEE,33.72045
UMA,46.379402
EAM,45.504997
ECM,52.739998
GEM,44.83
HIM,52.870003
LCM,46.559998
LIM,32.83
LMM,41.8
MEM,44.625
NAN,52.870003
SAM,41.54
SSM,32.735
UMM,46.915
EAE,48.609398
ECE,51.1071
GLE,45.0317
HWW,52.7679
LCE,46.617302
LIW,35.4793
LMW,41.277847
MEE,43.81745
NAE,53.001152
SAE,41.877647
SSE,31.8866
UMW,48.106247
# Series: AVDTFEIN,NaN
"# Name: Mean age of death, female",NaN
# Definition: Average age of death overall for a population,NaN
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),NaN
# Data from the No Ceilings project: http://noceilings.org,NaN
"# For more about the data, please visit http://noceilings.org/data",NaN
AFG,51.135002
ALB,68.5
DZA,61.535004
AND,73.72
AGO,50.375
ATG,68.76
ARG,68.9
ARM,68.245
AUS,72.729996
AUT,72.36
AZE,62.96
BHS,61.735
BHR,61.370003
BGD,60.6
BRB,67.715
BLR,67.475
BEL,72.630005
BLZ,61.795002
BEN,49.65
BTN,59.735
BOL,56.2
BIH,70.265
BWA,56.065002
BRA,65.535
BRN,66.72
BGR,70.935
BFA,44.16
BDI,52.105003
KHM,57.27
CMR,50.885002
CAN,72.385
CPV,63.025
CAF,53.865
TCD,45.645
CHL,69.165
CHN,67.905
COL,63.255
COM,52.77
COG,54.21
CRI,68.115005
CIV,52.295002
HRV,71.05
CUB,71.7
CYP,72.135
CZE,70.985
PRK,64.66
COD,47.27
DNK,72.545
DJI,53.995003
DMA,66.78
DOM,65.455
ECU,63.345
EGY,63.115
SLV,63.870003
GNQ,50.225002
ERI,50.93
EST,69.47
ETH,53.2
FJI,62.36
FIN,71.729996
FRA,72.465
GAB,57.855003
GMB,48.24
GEO,68.44
DEU,72.445
GHA,54.745003
GRC,73.34
GRD,66.275
GTM,57.855003
GIN,47.925003
GNB,48.550003
GUY,61.49
HTI,53.36
HND,62.18
HUN,70.285
ISL,73.185
IND,60.705
IDN,62.31
IRN,65.25
IRQ,52.86
IRL,71.66
ISR,72.265
ITA,73.79
JAM,66.130005
JPN,73.770004
JOR,63.82
KAZ,62.415
KEN,51.585
KIR,59.765
KWT,62.925003
KGZ,60.255
LAO,57.09
LVA,69.025
LBN,67.67
LSO,53.79
LBR,46.295002
LBY,62.82
LTU,68.635
LUX,71.490005
MKD,70.31
MDG,54.445
MWI,50.52
MYS,65.455
MDV,65.05
MLI,43.845
MLT,72.59
MHL,59.355003
MRT,50.41
MUS,67.185
MEX,65.11
FSM,63.7
MNG,60.635002
MNE,70.375
MAR,62.395
MOZ,51.025
MMR,61.14
NAM,57.705
NPL,56.865
NLD,72.81
NZL,72.0
NIC,62.845
NER,44.065002
NGA,46.645
NOR,73.345
OMN,62.585
PAK,56.305
PAN,65.885
PNG,57.355003
PRY,63.845
PER,63.620003
PHL,59.995003
POL,69.72
PRT,72.5
QAT,59.07
KOR,69.45
MDA,67.125
ROU,69.83
RUS,66.155
RWA,51.825
LCA,66.69
VCT,64.755005
WSM,64.335
STP,55.975
SAU,62.865
SEN,50.605003
SRB,71.229996
SYC,62.415
SLE,48.71
SGP,69.91
SVK,69.740005
SVN,71.03
SLB,60.620003
SOM,49.97
ZAF,56.190002
ESP,73.255005
LKA,67.91
SDN,52.24
SUR,61.565002
SWZ,54.93
SWE,74.130005
CHE,73.515
SYR,63.905
TJK,56.845
TZA,50.025
THA,66.285
TLS,52.09
TGO,50.45
TON,64.935
TTO,65.955
TUN,66.44
TUR,64.255005
TKM,61.915
UGA,50.585
UKR,67.695
ARE,57.35
GBR,73.03
USA,71.065
URY,71.04
UZB,60.79
VUT,61.245003
VEN,62.68
VNM,65.015
YEM,51.730003
ZMB,49.690002
ZWE,54.910004
AAE,63.63335
ACE,69.63335
GEA,62.1734
HIA,69.5295
AME,64.487656
LIA,51.84845
LMA,58.99945
ANE,62.32775
ASA,71.725006
ASE,59.7881
AEE,51.91545
UMA,64.5744
EAM,63.7
ECM,70.935
GEM,63.025
HIM,71.065
LCM,64.755005
LIM,51.025
LMM,59.995003
MEM,62.82
NAN,71.065
SAM,59.735
SSM,50.93
UMM,65.11
EAE,66.8044
ECE,69.3021
GLE,63.2267
HWW,70.962906
LCE,64.8123
LIW,53.6743
LMW,59.47285
MEE,62.01245
NAE,71.19615
SAE,60.07265
SSE,50.0816
UMW,66.301254
# Series: AVDTFEIN,NaN
"# Name: Mean age of death, female",NaN
# Definition: Average age of death overall for a population,NaN
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),NaN
# Data from the No Ceilings project: http://noceilings.org,NaN
"# For more about the data, please visit http://noceilings.org/data",NaN
AFG,44.55
ALB,61.915
DZA,54.95
AND,67.135
AGO,43.79
ATG,62.175003
ARG,62.315002
ARM,61.660004
AUS,66.145
AUT,65.775
AZE,56.375
BHS,55.15
BHR,54.785
BGD,54.015
BRB,61.129997
BLR,60.89
BEL,66.045
BLZ,55.21
BEN,43.065002
BTN,53.15
BOL,49.614998
BIH,63.68
BWA,49.48
BRA,58.95
BRN,60.135002
BGR,64.35
BFA,37.575
BDI,45.52
KHM,50.684998
CMR,44.3
CAN,65.8
CPV,56.440002
CAF,47.28
TCD,39.06
CHL,62.58
CHN,61.32
COL,56.67
COM,46.184998
COG,47.625
CRI,61.53
CIV,45.71
HRV,64.465
CUB,65.115
CYP,65.55
CZE,64.4
PRK,58.075
COD,40.685
DNK,65.96
DJI,47.41
DMA,60.195
DOM,58.870003
ECU,56.760002
EGY,56.53
SLV,57.285
GNQ,43.64
ERI,44.345
EST,62.885002
ETH,46.614998
FJI,55.775
FIN,65.145
FRA,65.88
GAB,51.27
GMB,41.655
GEO,61.855003
DEU,65.86
GHA,48.16
GRC,66.755
GRD,59.690002
GTM,51.27
GIN,41.34
GNB,41.965
GUY,54.905
HTI,46.775
HND,55.595
HUN,63.699997
ISL,66.6
IND,54.120003
IDN,55.725
IRN,58.665
IRQ,46.275
IRL,65.075
ISR,65.68
ITA,67.205
JAM,59.545
JPN,67.185
JOR,57.235
KAZ,55.83
KEN,45.0
KIR,53.18
KWT,56.34
KGZ,53.67
LAO,50.504997
LVA,62.440002
LBN,61.085
LSO,47.205
LBR,39.71
LBY,56.235
LTU,62.050003
LUX,64.905
MKD,63.725
MDG,47.86
MWI,43.935
MYS,58.870003
MDV,58.465
MLI,37.260002
MLT,66.005
